jdate,q_ref0,q_ref1,q_ref2,q_ref3,w_ref0,w_ref1,w_ref2,a_ref0,a_ref1,a_ref2
2459000.5637268517,0.23262486556012238,0.6476687800443676,-0.3760503542295189,-0.6204812280503166,-4.325462747882471e-05,-0.00011738982608976113,-0.0011246188916548393,-0.005679533522424209,-0.004550427405600174,-0.007569662351655282
2459000.56375,0.2319107487715029,0.6480083640743739,-0.37532211517300323,-0.6208348206696831,-4.338579465523187e-05,-0.00011749476224667989,-0.0011247881679933742,-0.005653210772300564,-0.00451601302547515,-0.0070557781772140424
2459000.563773148,0.231196289895632,0.6483470790522037,-0.37459324355567625,-0.621187767511087,-4.351635141265598e-05,-0.00011759890173577311,-0.0011249455495657436,-0.005645706634314664,-0.004532622193132022,-0.0070303451593467315
2459000.5637962963,0.23048147553753448,0.6486849306380853,-0.3738637258925096,-0.6215400748615281,-4.364716854467047e-05,-0.00011770460472853574,-0.0011251136451705314,-0.005657069782350921,-0.004600300432706003,-0.007493365404771813
2459000.5638194443,0.22976630672258921,0.6490219176311924,-0.3731335633950782,-0.621891741863069,-4.377825137090951e-05,-0.00011781187745246626,-0.0011252924627491042,-0.0056494290943011494,-0.004616879869694569,-0.007467662580892643
2459000.5638425928,0.22905077002289728,0.6493580456077188,-0.3724027425201179,-0.622242774743055,-4.390871740000523e-05,-0.00011791835015749507,-0.0011254593718921977,-0.005622736776732087,-0.004582192547030935,-0.006952462127103561
2459000.563865741,0.22833489524440406,0.6496932998522165,-0.371671293876691,-0.6225931585304253,-4.403856446507444e-05,-0.0001180240169794157,-0.001125614337487374,-0.005624703616888385,-0.004624400541006101,-0.007170536389768879
2459000.563888889,0.2276186690148472,0.6500276859436512,-0.3709392039808105,-0.6229428994480424,-4.416911893280007e-05,-0.00011813244161389103,-0.001125791339368893,-0.005626463495709223,-0.004666534962835232,-0.007388694820875627
2459000.5639120373,0.22690207791401518,0.6503612094026759,-0.3702064592784084,-0.623292003679764,-4.429905009332492e-05,-0.00011824006126593314,-0.0011259564082772822,-0.005599487285509942,-0.004631723151432975,-0.006872990032442211
2459000.5639351853,0.2261851517970826,0.6506938556224141,-0.3694730904680784,-0.6236404563382131,-4.4428355656642485e-05,-0.00011834687423500434,-0.0011261095348264704,-0.0055917208592452,-0.004648264701184464,-0.006846246811126819
